"TABLE","emr","cert"
"sessionId","207318","176936"
"sessionId","207319","176937"
"sessionId","207331","176938"
"sessionId","207332","176939"
"sessionId","207333","176940"
"sessionId","207356","176941"
"sessionId","207365","176942"
"sessionId","207368","176943"
"sessionId","207396","176944"
"sessionId","207397","176945"
"sessionId","207409","176946"
"sessionId","207417","176947"
"sessionId","207420","176948"
"sessionId","207421","176949"
"sessionId","207428","176950"
"sessionId","207429","176951"
"sessionId","207517","176952"
"sessionId","207524","176953"
"sessionId","207530","176954"
"sessionId","207559","176955"
"sessionId","207580","176956"
"sessionId","207652","176957"
"sessionId","207666","176958"
"sessionId","207667","176959"
"sessionId","207694","176960"
"sessionId","207695","176961"
"sessionId","207714","176962"
"sessionId","207715","176963"
"sessionId","207716","176964"
"sessionId","207780","176965"
"sessionId","207784","176966"
"sessionId","207792","176967"
"sessionId","207794","176968"
"sessionId","207797","176969"
"sessionId","207812","176970"
"sessionId","207821","176971"
"sessionId","207827","176972"
"sessionId","207828","176973"
"sessionId","207847","176974"
"sessionId","207849","176975"
"sessionId","207933","176976"
"sessionId","207938","176977"
"sessionId","207943","176978"
"sessionId","207960","176979"
"sessionId","207961","176980"
"sessionId","207966","176981"
"sessionId","207967","176982"
"sessionId","207968","176983"
"sessionId","207975","176984"
"sessionId","207980","176985"
"sessionId","207986","176986"
"sessionId","207987","176987"
"sessionId","208000","176988"
"sessionId","208026","176989"
"sessionId","208041","176990"
"ipc","1","918089"
"ipc","2","691795"
"ipc","3","710124"
"ipc","4","600085"
"ipc","5","699288"
"ipc","6","600001"
"ipc","7","600086"
"ipc","8","719487"
"ipc","9","918211"
"ipc","10","686298"
"ipc","11","600087"
"ipc","12","918171"
"ipc","13","600088"
"ipc","14","719539"
"ipc","15","917689"
"ipc","16","697779"
"ipc","17","719475"
"ipc","18","686259"
"ipc","19","719450"
"ipc","20","917989"
"ipc","21","600089"
"ipc","22","600090"
"ipc","23","600091"
"ipc","24","600092"
"ipc","25","699285"
