"TABLE","emr","cert"
"clientId","5253","47510"
"clientId","5573","47511"
"clientId","11590","47512"
"clientId","11591","47513"
"clientId","20284","47514"
"clientId","21372","47515"
"clientId","21376","47516"
"clientId","21486","47517"
"clientId","21685","47518"
"clientId","21871","47519"
"clientId","24201","47520"
"clientId","24501","47521"
"clientId","24508","47522"
"clientId","24518","47523"
"clientId","24592","47524"
"clientId","24596","47525"
"clientId","24601","47526"
"clientId","24611","47527"
"clientId","24612","47528"
"clientId","24628","47529"
"clientId","24727","47530"
"clientId","24735","47531"
"clientId","24896","47532"
"clientId","24897","47533"
"clientId","25966","47534"
"clientId","26935","47535"
"clientId","26938","47536"
"clientId","29113","47537"
"clientId","32118","47538"
"clientId","32574","47539"
"clientId","32720","47540"
"clientId","33250","47541"
"clientId","33349","47542"
"clientId","33351","47543"
"clientId","33543","47544"
"clientId","33545","47545"
"clientId","33547","47546"
"clientId","33574","47547"
"clientId","33585","47548"
"clientId","33661","47549"
"clientId","33662","47550"
"clientId","33665","47551"
"clientId","33675","47552"
"clientId","33677","47553"
"clientId","33679","47554"
"clientId","33682","47555"
"clientId","33686","47556"
"clientId","33687","47557"
"clientId","33694","47558"
"clientId","33695","47559"
"clientId","33696","47560"
"clientId","33757","47561"
"clientId","33812","47562"
"clientId","33845","47563"
"clientId","33849","47564"
"clientId","33876","47565"
"clientId","33900","47566"
"clientId","33909","47567"
"clientId","33955","47568"
"clientId","33956","47569"
"clientId","33957","47570"
"clientId","33961","47571"
"clientId","33962","47572"
"clientId","33963","47573"
"clientId","33968","47574"
"clientId","33974","47575"
"clientId","33977","47576"
"clientId","33978","47577"
"clientId","34110","47578"
"clientId","34114","47579"
"clientId","34122","47580"
"clientId","34130","47581"
"clientId","34135","47582"
"clientId","34138","47583"
"clientId","34147","47584"
"clientId","34153","47585"
"clientId","34236","47586"
"clientId","36055","47587"
"clientId","36136","47588"
"clientId","36297","47589"
"clientId","36314","47590"
"clientId","36406","47591"
"clientId","36651","47592"
"clientId","36741","47593"
"clientId","36744","47594"
"clientId","36746","47595"
"clientId","36755","47596"
"clientId","36756","47597"
"clientId","36804","47598"
"clientId","36806","47599"
"clientId","36807","47600"
"clientId","36811","47601"
"clientId","36813","47602"
"clientId","36815","47603"
"clientId","36822","47604"
"clientId","36824","47605"
"clientId","36826","47606"
"clientId","36841","47607"
"clientId","36847","47608"
"clientId","36848","47609"
"clientId","36859","47610"
"clientId","36862","47611"
"clientId","36918","47612"
"clientId","36926","47613"
"clientId","36932","47614"
"clientId","36933","47615"
"clientId","36934","47616"
"clientId","36935","47617"
"clientId","36940","47618"
"clientId","36941","47619"
"clientId","36944","47620"
"clientId","36946","47621"
"clientId","36971","47622"
"clientId","37010","47623"
"clientId","37011","47624"
"clientId","37012","47625"
"clientId","37013","47626"
"clientId","37015","47627"
"clientId","37017","47628"
"clientId","37020","47629"
"clientId","37027","47630"
"clientId","37032","47631"
"clientId","37033","47632"
"clientId","37038","47633"
"clientId","37041","47634"
"clientId","37044","47635"
"clientId","37048","47636"
"clientId","37059","47637"
"clientId","37074","47638"
"clientId","37082","47639"
"clientId","37124","47640"
"clientId","37133","47641"
"clientId","37136","47642"
"clientId","37142","47643"
"clientId","37149","47644"
"clientId","37150","47645"
"clientId","37171","47646"
"clientId","37172","47647"
"clientId","37173","47648"
"clientId","37175","47649"
"clientId","37177","47650"
"clientId","37178","47651"
"clientId","37179","47652"
"clientId","37180","47653"
"clientId","37182","47654"
"clientId","37183","47655"
"clientId","37184","47656"
"clientId","37202","47657"
"clientId","37211","47658"
"clientId","37247","47659"
"clientId","37253","47660"
"clientId","37255","47661"
"clientId","37256","47662"
"clientId","37264","47663"
"clientId","37267","47664"
"clientId","37269","47665"
"clientId","37275","47666"
"clientId","37276","47667"
"clientId","37280","47668"
"clientId","37283","47669"
"clientId","37284","47670"
"clientId","37287","47671"
"clientId","37291","47672"
"clientId","37296","47673"
"clientId","37303","47674"
"clientId","37311","47675"
"clientId","37315","47676"
"clientId","37321","47677"
"clientId","37322","47678"
"clientId","37328","47679"
"clientId","37333","47680"
"clientId","37336","47681"
"clientId","37338","47682"
"clientId","37339","47683"
"clientId","37351","47684"
"clientId","37357","47685"
"clientId","37360","47686"
"clientId","37362","47687"
"clientId","37364","47688"
"clientId","37365","47689"
"clientId","37366","47690"
"clientId","37375","47691"
"clientId","37376","47692"
"clientId","37390","47693"
"clientId","37399","47694"
"clientId","37417","47695"
"clientId","37418","47696"
"clientId","37453","47697"
"clientId","37454","47698"
"clientId","37455","47699"
"clientId","37458","47700"
"clientId","37459","47701"
"clientId","37460","47702"
"clientId","37461","47703"
"clientId","37462","47704"
"clientId","37463","47705"
"clientId","37483","47706"
"clientId","37490","47707"
"clientId","37536","47708"
"clientId","37537","47709"
"clientId","37538","47710"
"clientId","37555","47711"
"clientId","37556","47712"
"clientId","37592","47713"
"clientId","37593","47714"
"clientId","37601","47715"
"clientId","37603","47716"
"clientId","37605","47717"
"clientId","37606","47718"
"clientId","37607","47719"
"clientId","37608","47720"
"clientId","37609","47721"
"clientId","37611","47722"
"clientId","37613","47723"
"clientId","37615","47724"
"clientId","37617","47725"
"clientId","37618","47726"
"clientId","37619","47727"
"clientId","37622","47728"
"clientId","37624","47729"
"clientId","37625","47730"
"clientId","37626","47731"
"clientId","37627","47732"
"clientId","37638","47733"
"clientId","37639","47734"
"clientId","37642","47735"
"clientId","37643","47736"
"clientId","37645","47737"
"clientId","37646","47738"
"clientId","37647","47739"
"clientId","37649","47740"
"clientId","37650","47741"
"clientId","37652","47742"
"clientId","37655","47743"
"clientId","37658","47744"
"clientId","37662","47745"
"clientId","37676","47746"
"clientId","37678","47747"
"clientId","37680","47748"
"clientId","37714","47749"
"clientId","37715","47750"
"clientId","37716","47751"
"clientId","37718","47752"
"clientId","37720","47753"
"clientId","37721","47754"
"clientId","37736","47755"
"clientId","37737","47756"
"clientId","37739","47757"
"clientId","37741","47758"
"clientId","37742","47759"
"clientId","37743","47760"
"clientId","37767","47761"
"clientId","37800","47762"
"clientId","37830","47763"
"clientId","37831","47764"
"clientId","37832","47765"
"clientId","37835","47766"
"clientId","37850","47767"
"clientId","37853","47768"
"clientId","37854","47769"
"clientId","37859","47770"
"clientId","37870","47771"
"clientId","37876","47772"
"clientId","37901","47773"
"clientId","37978","47774"
"clientId","37979","47775"
"clientId","37980","47776"
"clientId","37981","47777"
"clientId","37984","47778"
"clientId","37985","47779"
"clientId","37986","47780"
"clientId","37987","47781"
"clientId","37989","47782"
"clientId","37990","47783"
"clientId","37991","47784"
"clientId","37992","47785"
"clientId","37994","47786"
"clientId","37995","47787"
"clientId","37996","47788"
"clientId","37998","47789"
"clientId","38000","47790"
"clientId","38001","47791"
"clientId","38004","47792"
"clientId","38006","47793"
"clientId","38007","47794"
"clientId","38008","47795"
"clientId","38010","47796"
"clientId","38014","47797"
"clientId","38015","47798"
"clientId","38021","47799"
"clientId","38024","47800"
"clientId","38029","47801"
"clientId","38031","47802"
"clientId","38032","47803"
"clientId","38033","47804"
"clientId","38034","47805"
"clientId","38077","47806"
"clientId","38112","47807"
"clientId","38124","47808"
"clientId","38125","47809"
"clientId","38126","47810"
"clientId","38127","47811"
"clientId","38128","47812"
"clientId","38129","47813"
"clientId","38131","47814"
"clientId","38132","47815"
"clientId","38134","47816"
"clientId","38136","47817"
"clientId","38137","47818"
"clientId","38139","47819"
"clientId","38144","47820"
"clientId","38145","47821"
"clientId","38146","47822"
"clientId","38147","47823"
"clientId","38148","47824"
"clientId","38149","47825"
"clientId","38150","47826"
"clientId","38157","47827"
"clientId","38170","47828"
"clientId","38185","47829"
"clientId","38198","47830"
"clientId","38222","47831"
"clientId","38223","47832"
"clientId","38224","47833"
"clientId","38225","47834"
"clientId","38226","47835"
"clientId","38227","47836"
"clientId","38233","47837"
"clientId","38237","47838"
"clientId","38241","47839"
"clientId","38247","47840"
"clientId","38248","47841"
"clientId","38252","47842"
"clientId","38255","47843"
"clientId","38257","47844"
"clientId","38258","47845"
"clientId","38262","47846"
"clientId","38263","47847"
"clientId","38265","47848"
"clientId","38269","47849"
"clientId","38271","47850"
"clientId","38281","47851"
"clientId","38297","47852"
"clientId","38300","47853"
"clientId","38302","47854"
"clientId","38327","47855"
"clientId","38328","47856"
"clientId","38329","47857"
"clientId","38330","47858"
"clientId","38332","47859"
"clientId","38335","47860"
"clientId","38337","47861"
"clientId","38338","47862"
"clientId","38339","47863"
"clientId","38340","47864"
"clientId","38341","47865"
"clientId","38348","47866"
"clientId","38350","47867"
"clientId","38381","47868"
"clientId","38427","47869"
"clientId","38428","47870"
"clientId","38429","47871"
"clientId","38430","47872"
"clientId","38436","47873"
"clientId","38437","47874"
"clientId","38439","47875"
"clientId","38440","47876"
"clientId","38441","47877"
"clientId","38442","47878"
"clientId","38443","47879"
"clientId","38445","47880"
"clientId","38446","47881"
"clientId","38447","47882"
"clientId","38457","47883"
"clientId","38520","47884"
"clientId","38556","47885"
"clientId","38558","47886"
"clientId","38563","47887"
"clientId","38565","47888"
"clientId","38567","47889"
"clientId","38569","47890"
"clientId","38571","47891"
"clientId","38572","47892"
"clientId","38573","47893"
"clientId","38575","47894"
"clientId","38576","47895"
"clientId","38577","47896"
"clientId","38582","47897"
"clientId","38585","47898"
"clientId","38586","47899"
"clientId","38587","47900"
"clientId","38588","47901"
"clientId","38591","47902"
"clientId","38592","47903"
"clientId","38594","47904"
"clientId","38595","47905"
"clientId","38602","47906"
"clientId","38604","47907"
"clientId","38606","47908"
"clientId","38607","47909"
"clientId","38609","47910"
"clientId","38611","47911"
"clientId","38620","47912"
"clientId","38624","47913"
"clientId","38636","47914"
"clientId","38640","47915"
"clientId","38644","47916"
"clientId","38645","47917"
"clientId","38649","47918"
"clientId","38653","47919"
"clientId","38655","47920"
"clientId","38694","47921"
"clientId","38722","47922"
