"TABLE","emr","cert"
"clientId","41073","53479"
"clientId","42519","53480"
"clientId","42963","53481"
"clientId","43242","53482"
"clientId","43243","53483"
"clientId","44051","53484"
"clientId","44056","53485"
"clientId","44902","53486"
"clientId","44907","53487"
"clientId","46617","53488"
"clientId","46622","53489"
"clientId","46760","53490"
"clientId","46761","53491"
"clientId","47463","53492"
"clientId","47486","53493"
"clientId","47528","53494"
"clientId","47531","53495"
"clientId","48075","53496"
"clientId","48087","53497"
"clientId","48437","53498"
"clientId","48438","53499"
"clientId","48439","53500"
"clientId","48441","53501"
"clientId","48442","53502"
"clientId","48443","53503"
"clientId","48444","53504"
"clientId","48445","53505"
"clientId","48447","53506"
"clientId","48448","53507"
"clientId","48449","53508"
"clientId","48452","53509"
"clientId","48453","53510"
"clientId","48454","53511"
"clientId","49576","53512"
"clientId","49578","53513"
"clientId","50470","53514"
"clientId","50471","53515"
"clientId","50472","53516"
"clientId","50473","53517"
"clientId","50474","53518"
"clientId","50480","53519"
"clientId","50780","53520"
"clientId","50784","53521"
"clientId","50907","53522"
"clientId","52082","53523"
"clientId","52248","53524"
"clientId","52312","53525"
"clientId","52316","53526"
"clientId","52325","53527"
"clientId","52326","53528"
"clientId","52327","53529"
"clientId","54269","53530"
"clientId","54274","53531"
"clientId","54332","53532"
"clientId","54333","53533"
"clientId","54334","53534"
"clientId","54335","53535"
"clientId","54336","53536"
"clientId","54337","53537"
"clientId","54346","53538"
"clientId","54387","53539"
"clientId","55020","53540"
"clientId","55021","53541"
"clientId","55316","53542"
"clientId","55466","53543"
"clientId","55467","53544"
"clientId","55625","53545"
"clientId","55690","53546"
"clientId","55698","53547"
"clientId","55836","53548"
"clientId","55838","53549"
"clientId","55841","53550"
"clientId","55843","53551"
"clientId","55845","53552"
"clientId","55846","53553"
"clientId","55847","53554"
"clientId","55850","53555"
"clientId","55851","53556"
"clientId","55852","53557"
"clientId","55853","53558"
"clientId","55854","53559"
"clientId","56078","53560"
"clientId","56085","53561"
"clientId","57064","53562"
"clientId","58019","53563"
"clientId","58208","53564"
"clientId","58209","53565"
"clientId","58233","53566"
"clientId","58234","53567"
"clientId","58235","53568"
"clientId","58236","53569"
"clientId","59023","53570"
"clientId","59030","53571"
"clientId","59031","53572"
"clientId","59149","53573"
"clientId","59674","53574"
"clientId","59776","53575"
"clientId","59906","53576"
"clientId","60140","53577"
"clientId","60141","53578"
"clientId","60161","53579"
"clientId","60238","53580"
"clientId","60239","53581"
"clientId","60247","53582"
"clientId","60664","53583"
"clientId","60805","53584"
"clientId","60809","53585"
"clientId","60810","53586"
"clientId","60811","53587"
"clientId","60812","53588"
"clientId","61111","53589"
"clientId","61538","53590"
"clientId","61539","53591"
"clientId","61540","53592"
"clientId","61560","53593"
"clientId","62728","53594"
"clientId","62730","53595"
"clientId","62735","53596"
"clientId","62824","53597"
"clientId","63033","53598"
"clientId","63185","53599"
"clientId","63302","53600"
"clientId","63952","53601"
"clientId","63957","53602"
"clientId","64651","53603"
"clientId","64664","53604"
"clientId","64760","53605"
"clientId","64764","53606"
"clientId","65496","53607"
"clientId","65499","53608"
"clientId","66422","53609"
"clientId","66423","53610"
"clientId","67584","53611"
"clientId","68306","53612"
"clientId","68309","53613"
"clientId","68773","53614"
"clientId","68928","53615"
"clientId","68931","53616"
"clientId","69342","53617"
"clientId","69343","53618"
"clientId","69346","53619"
"clientId","69347","53620"
"clientId","69349","53621"
"clientId","69754","53622"
"clientId","69774","53623"
"clientId","69909","53624"
"clientId","69968","53625"
"clientId","70130","53626"
"clientId","70133","53627"
"clientId","70150","53628"
"clientId","70503","53629"
"clientId","70504","53630"
"clientId","70532","53631"
"clientId","71095","53632"
"clientId","71096","53633"
"clientId","71097","53634"
"clientId","71105","53635"
"clientId","71447","53636"
"clientId","71448","53637"
"clientId","71700","53638"
"clientId","71770","53639"
"clientId","71773","53640"
"clientId","71775","53641"
"clientId","71787","53642"
"clientId","72281","53643"
"clientId","72282","53644"
"clientId","72587","53645"
"clientId","72592","53646"
"clientId","72742","53647"
"clientId","72900","53648"
"clientId","73033","53649"
"clientId","73039","53650"
"clientId","73041","53651"
"clientId","73042","53652"
"clientId","73162","53653"
"clientId","73253","53654"
"clientId","73325","53655"
"clientId","73326","53656"
"clientId","73520","53657"
"clientId","73564","53658"
"clientId","73777","53659"
"clientId","73778","53660"
"clientId","82907","53661"
"clientId","82908","53662"
"clientId","88629","53663"
"clientId","88679","53664"
"clientId","88682","53665"
"clientId","88740","53666"
"clientId","88854","53667"
"clientId","88855","53668"
"clientId","88857","53669"
"clientId","88860","53670"
"clientId","88861","53671"
"clientId","89013","53672"
"clientId","89017","53673"
"clientId","89020","53674"
"clientId","89064","53675"
"clientId","89412","53676"
"clientId","89424","53677"
"clientId","89506","53678"
"clientId","89511","53679"
"clientId","89514","53680"
"clientId","89761","53681"
"clientId","89962","53682"
"clientId","90131","53683"
"clientId","90157","53684"
"clientId","90161","53685"
"clientId","90162","53686"
"clientId","90164","53687"
"clientId","90286","53688"
"clientId","90410","53689"
"clientId","90411","53690"
"clientId","90422","53691"
"clientId","90662","53692"
"clientId","90671","53693"
"clientId","90756","53694"
"clientId","90757","53695"
"clientId","90758","53696"
"clientId","90798","53697"
"clientId","90801","53698"
"clientId","90951","53699"
"clientId","90952","53700"
"clientId","91078","53701"
