"TABLE","emr","cert"
"clientId","5187","51218"
"clientId","5476","51219"
"clientId","6151","51220"
"clientId","6175","51221"
"clientId","6353","51222"
"clientId","6926","51223"
"clientId","7151","51224"
"clientId","7597","51225"
"clientId","7956","51226"
"clientId","7988","51227"
"clientId","8021","51228"
"clientId","8023","51229"
"clientId","8485","51230"
"clientId","8827","51231"
"clientId","9526","51232"
"clientId","9529","51233"
"clientId","9612","51234"
"clientId","10151","51235"
"clientId","10194","51236"
"clientId","10282","51237"
"clientId","10581","51238"
"clientId","10865","51239"
"clientId","11702","51240"
"clientId","12407","51241"
"clientId","12776","51242"
"clientId","12780","51243"
"clientId","13429","51244"
"clientId","13447","51245"
"clientId","13606","51246"
"clientId","13644","51247"
"clientId","13710","51248"
"clientId","13840","51249"
"clientId","13862","51250"
"clientId","13863","51251"
"clientId","16233","51252"
"clientId","16239","51253"
"clientId","17147","51254"
"clientId","17343","51255"
"clientId","17351","51256"
"clientId","17354","51257"
"clientId","18096","51258"
"clientId","18102","51259"
"clientId","18369","51260"
"clientId","18376","51261"
"clientId","18728","51262"
"clientId","18768","51263"
"clientId","18924","51264"
"clientId","20013","51265"
"clientId","20040","51266"
"clientId","20049","51267"
"clientId","20050","51268"
"clientId","20224","51269"
"clientId","20319","51270"
"clientId","20958","51271"
"clientId","21148","51272"
"clientId","21216","51273"
"clientId","21472","51274"
"clientId","21478","51275"
"clientId","21714","51276"
"clientId","21788","51277"
"clientId","21791","51278"
"clientId","21988","51279"
"clientId","22189","51280"
"clientId","22191","51281"
"clientId","22485","51282"
"clientId","22702","51283"
"clientId","22818","51284"
"clientId","22819","51285"
"clientId","23060","51286"
"clientId","23062","51287"
"clientId","23577","51288"
"clientId","23800","51289"
"clientId","23801","51290"
"clientId","23987","51291"
"clientId","24237","51292"
"clientId","24302","51293"
"clientId","24306","51294"
"clientId","24323","51295"
"clientId","24546","51296"
"clientId","24549","51297"
"clientId","24661","51298"
"clientId","24742","51299"
"clientId","24743","51300"
"clientId","25026","51301"
"clientId","25692","51302"
"clientId","25814","51303"
"clientId","26071","51304"
"clientId","26294","51305"
"clientId","26552","51306"
"clientId","26622","51307"
"clientId","27344","51308"
"clientId","27700","51309"
"clientId","27712","51310"
"clientId","27722","51311"
"clientId","27725","51312"
"clientId","27972","51313"
"clientId","28224","51314"
"clientId","28226","51315"
"clientId","28592","51316"
"clientId","29218","51317"
"clientId","29822","51318"
"clientId","29980","51319"
"clientId","30117","51320"
"clientId","30122","51321"
"clientId","30645","51322"
"clientId","30752","51323"
"clientId","30753","51324"
"clientId","30987","51325"
"clientId","30988","51326"
"clientId","30989","51327"
"clientId","31184","51328"
"clientId","32908","51329"
"clientId","32909","51330"
"clientId","32910","51331"
"clientId","33031","51332"
"clientId","33037","51333"
"clientId","33319","51334"
"clientId","33326","51335"
"clientId","33334","51336"
"clientId","33635","51337"
"clientId","33921","51338"
"clientId","33922","51339"
"clientId","33923","51340"
"clientId","34301","51341"
"clientId","34346","51342"
"clientId","34347","51343"
"clientId","34540","51344"
"clientId","34832","51345"
"clientId","34962","51346"
"clientId","35480","51347"
"clientId","36233","51348"
"clientId","36236","51349"
"clientId","36484","51350"
"clientId","36571","51351"
"clientId","36574","51352"
"clientId","36584","51353"
"clientId","37100","51354"
"clientId","37701","51355"
"clientId","37717","51356"
"clientId","38716","51357"
"clientId","38719","51358"
"clientId","38946","51359"
"clientId","39311","51360"
"clientId","39314","51361"
"clientId","39569","51362"
"clientId","39600","51363"
"clientId","39601","51364"
"clientId","39606","51365"
"clientId","40012","51366"
"clientId","40225","51367"
"clientId","40277","51368"
"clientId","41282","51369"
"clientId","41289","51370"
"clientId","41291","51371"
"clientId","41588","51372"
"clientId","41830","51373"
"clientId","41855","51374"
"clientId","41922","51375"
"clientId","42124","51376"
"clientId","42406","51377"
"clientId","42419","51378"
"clientId","42440","51379"
"clientId","42442","51380"
"clientId","42658","51381"
"clientId","42844","51382"
"clientId","42924","51383"
"clientId","43227","51384"
"clientId","43240","51385"
"clientId","43547","51386"
"clientId","43904","51387"
"clientId","43908","51388"
"clientId","43913","51389"
"clientId","43922","51390"
"clientId","44531","51391"
"clientId","44533","51392"
"clientId","44880","51393"
"clientId","44883","51394"
"clientId","47806","51395"
"clientId","48496","51396"
"clientId","48503","51397"
"clientId","48507","51398"
"clientId","49569","51399"
"clientId","49591","51400"
"clientId","49593","51401"
"clientId","49781","51402"
"clientId","49837","51403"
"clientId","49841","51404"
"clientId","50107","51405"
"clientId","50109","51406"
"clientId","50318","51407"
"clientId","50339","51408"
"clientId","50771","51409"
"clientId","50826","51410"
"clientId","51160","51411"
"clientId","51243","51412"
"clientId","51244","51413"
"clientId","51245","51414"
"clientId","51596","51415"
"clientId","51640","51416"
"clientId","51806","51417"
"clientId","51830","51418"
"clientId","51977","51419"
"clientId","52324","51420"
"clientId","53179","51421"
"clientId","53314","51422"
"clientId","53479","51423"
"clientId","53804","51424"
"clientId","54030","51425"
"clientId","54033","51426"
"clientId","54228","51427"
"clientId","54264","51428"
"clientId","54267","51429"
"clientId","54669","51430"
"clientId","54671","51431"
"clientId","55145","51432"
"clientId","55154","51433"
"clientId","55159","51434"
"clientId","55744","51435"
"clientId","56079","51436"
"clientId","56084","51437"
"clientId","56114","51438"
"clientId","56117","51439"
"clientId","56292","51440"
"clientId","57131","51441"
"clientId","57183","51442"
"clientId","57186","51443"
"clientId","57187","51444"
"clientId","57831","51445"
"clientId","57839","51446"
"clientId","58043","51447"
"clientId","58730","51448"
"clientId","58731","51449"
"clientId","58962","51450"
"clientId","59153","51451"
"clientId","59155","51452"
"clientId","59300","51453"
"clientId","59305","51454"
"clientId","59320","51455"
"clientId","59568","51456"
"clientId","59688","51457"
"clientId","59930","51458"
"clientId","60333","51459"
"clientId","60367","51460"
"clientId","60565","51461"
"clientId","60804","51462"
"clientId","60939","51463"
"clientId","61816","51464"
"clientId","61820","51465"
"clientId","62102","51466"
"clientId","62279","51467"
"clientId","62284","51468"
"clientId","62459","51469"
"clientId","62461","51470"
"clientId","62577","51471"
"clientId","62643","51472"
"clientId","62829","51473"
"clientId","62831","51474"
"clientId","63028","51475"
"clientId","63029","51476"
"clientId","63325","51477"
"clientId","63526","51478"
"clientId","63561","51479"
"clientId","63696","51480"
"clientId","63925","51481"
"clientId","63926","51482"
"clientId","64096","51483"
"clientId","64283","51484"
"clientId","64299","51485"
"clientId","64832","51486"
"clientId","64847","51487"
"clientId","65162","51488"
"clientId","65308","51489"
"clientId","65317","51490"
"clientId","65318","51491"
"clientId","65378","51492"
"clientId","65413","51493"
"clientId","65433","51494"
"clientId","65904","51495"
"clientId","65905","51496"
"clientId","66334","51497"
"clientId","67662","51498"
