"TABLE","emr","cert"
"clientId","53374","61144"
"clientId","53401","61145"
"clientId","53489","61146"
"clientId","54005","61147"
"clientId","54018","61148"
"clientId","54022","61149"
"clientId","54023","61150"
"clientId","54026","61151"
"clientId","54110","61152"
"clientId","54114","61153"
"clientId","54117","61154"
"clientId","54120","61155"
"clientId","54121","61156"
"clientId","54122","61157"
"clientId","54123","61158"
"clientId","54124","61159"
"clientId","54126","61160"
"clientId","54127","61161"
"clientId","54128","61162"
"clientId","54129","61163"
"clientId","54130","61164"
"clientId","54145","61165"
"clientId","54146","61166"
"clientId","54147","61167"
"clientId","54148","61168"
"clientId","54149","61169"
"clientId","54150","61170"
"clientId","54270","61171"
"clientId","54272","61172"
"clientId","54273","61173"
"clientId","54275","61174"
"clientId","54276","61175"
"clientId","54277","61176"
"clientId","54278","61177"
"clientId","54279","61178"
"clientId","54280","61179"
"clientId","54281","61180"
"clientId","54282","61181"
"clientId","54283","61182"
"clientId","54284","61183"
"clientId","54285","61184"
"clientId","54286","61185"
"clientId","54287","61186"
"clientId","54368","61187"
"clientId","54369","61188"
"clientId","54374","61189"
"clientId","54375","61190"
"clientId","54376","61191"
"clientId","54540","61192"
"clientId","54541","61193"
"clientId","54542","61194"
"clientId","54543","61195"
"clientId","54544","61196"
"clientId","54545","61197"
"clientId","54546","61198"
"clientId","54583","61199"
"clientId","54585","61200"
"clientId","54587","61201"
"clientId","54701","61202"
"clientId","54702","61203"
"clientId","54703","61204"
"clientId","54704","61205"
"clientId","54706","61206"
"clientId","54708","61207"
"clientId","54709","61208"
"clientId","54711","61209"
"clientId","54713","61210"
"clientId","54715","61211"
"clientId","54717","61212"
"clientId","54718","61213"
"clientId","54719","61214"
"clientId","54720","61215"
"clientId","54721","61216"
"clientId","54722","61217"
"clientId","54723","61218"
"clientId","55307","61219"
"clientId","55318","61220"
"clientId","55319","61221"
"clientId","55320","61222"
"clientId","55321","61223"
"clientId","55322","61224"
"clientId","55323","61225"
"clientId","55324","61226"
"clientId","55325","61227"
"clientId","55326","61228"
"clientId","55327","61229"
"clientId","55328","61230"
"clientId","55331","61231"
"clientId","55332","61232"
"clientId","55333","61233"
"clientId","55366","61234"
"clientId","55425","61235"
"clientId","55426","61236"
"clientId","55427","61237"
"clientId","55428","61238"
"clientId","55429","61239"
"clientId","55430","61240"
"clientId","55431","61241"
"clientId","55432","61242"
"clientId","55433","61243"
"clientId","55434","61244"
"clientId","55435","61245"
"clientId","55436","61246"
"clientId","55437","61247"
"clientId","55461","61248"
"clientId","55462","61249"
"clientId","55463","61250"
