"TABLE","emr","cert"
"clientId","82990","64331"
"clientId","95524","64332"
"clientId","95525","64333"
"clientId","95526","64334"
"clientId","95527","64335"
"clientId","95797","64336"
"clientId","96162","64337"
"clientId","96218","64338"
"clientId","96223","64339"
"clientId","96224","64340"
"clientId","96226","64341"
"clientId","96228","64342"
"clientId","96229","64343"
"clientId","96230","64344"
"clientId","96231","64345"
"clientId","96232","64346"
"clientId","96233","64347"
"clientId","96234","64348"
"clientId","96237","64349"
"clientId","96238","64350"
"clientId","96239","64351"
"clientId","96240","64352"
"clientId","96242","64353"
"clientId","96243","64354"
"clientId","96245","64355"
"clientId","96246","64356"
"clientId","96652","64357"
"clientId","96653","64358"
"clientId","96654","64359"
"clientId","96655","64360"
"clientId","96656","64361"
"clientId","96657","64362"
"clientId","97141","64363"
"clientId","97143","64364"
"clientId","97145","64365"
"clientId","97149","64366"
"clientId","97150","64367"
"clientId","97305","64368"
"clientId","97307","64369"
"clientId","97961","64370"
"clientId","97962","64371"
"clientId","97965","64372"
"clientId","97967","64373"
"clientId","97968","64374"
"clientId","97988","64375"
"clientId","97989","64376"
"clientId","97992","64377"
"clientId","97994","64378"
"clientId","97998","64379"
"clientId","98021","64380"
"clientId","98023","64381"
"clientId","98025","64382"
"clientId","98026","64383"
"clientId","98028","64384"
"clientId","98091","64385"
"clientId","98092","64386"
"clientId","98097","64387"
"clientId","98099","64388"
"clientId","98101","64389"
"clientId","98130","64390"
"clientId","98132","64391"
"clientId","98134","64392"
"clientId","98135","64393"
"clientId","98136","64394"
"clientId","98181","64395"
"clientId","98182","64396"
"clientId","98185","64397"
"clientId","98187","64398"
"clientId","98189","64399"
"clientId","98216","64400"
"clientId","98217","64401"
"clientId","98218","64402"
"clientId","98219","64403"
"clientId","98220","64404"
"clientId","98256","64405"
"clientId","98258","64406"
"clientId","98260","64407"
"clientId","98262","64408"
"clientId","98263","64409"
"clientId","98290","64410"
"clientId","98291","64411"
"clientId","98292","64412"
"clientId","98293","64413"
"clientId","98294","64414"
"clientId","98296","64415"
"clientId","98298","64416"
"clientId","98300","64417"
"clientId","98301","64418"
"clientId","98302","64419"
"clientId","98338","64420"
"clientId","98340","64421"
"clientId","98342","64422"
"clientId","98347","64423"
"clientId","98348","64424"
"clientId","98371","64425"
"clientId","98372","64426"
"clientId","98373","64427"
