"TABLE","emr","cert"
"clientId","54058","62011"
"clientId","54059","62012"
"clientId","54101","62013"
"clientId","54104","62014"
"clientId","54151","62015"
"clientId","54152","62016"
"clientId","54166","62017"
"clientId","54288","62018"
"clientId","54289","62019"
"clientId","54290","62020"
"clientId","54293","62021"
"clientId","54297","62022"
"clientId","54305","62023"
"clientId","54322","62024"
"clientId","54361","62025"
"clientId","54363","62026"
"clientId","54364","62027"
"clientId","54370","62028"
"clientId","54371","62029"
"clientId","54372","62030"
"clientId","54373","62031"
"clientId","54389","62032"
"clientId","54391","62033"
"clientId","54413","62034"
"clientId","54429","62035"
"clientId","54437","62036"
"clientId","54439","62037"
"clientId","54475","62038"
"clientId","54497","62039"
"clientId","54531","62040"
"clientId","54533","62041"
"clientId","54549","62042"
"clientId","54550","62043"
"clientId","54551","62044"
"clientId","54639","62045"
"clientId","54692","62046"
"clientId","54693","62047"
"clientId","54694","62048"
"clientId","54695","62049"
"clientId","54705","62050"
"clientId","54707","62051"
"clientId","54710","62052"
"clientId","54712","62053"
"clientId","54714","62054"
"clientId","54716","62055"
"clientId","54852","62056"
"clientId","54853","62057"
"clientId","54854","62058"
"clientId","54855","62059"
"clientId","54856","62060"
"clientId","54857","62061"
"clientId","54859","62062"
"clientId","54861","62063"
"clientId","54862","62064"
"clientId","54874","62065"
"clientId","54883","62066"
"clientId","54888","62067"
"clientId","54891","62068"
"clientId","54940","62069"
"clientId","54941","62070"
"clientId","54942","62071"
"clientId","54943","62072"
"clientId","54944","62073"
"clientId","54945","62074"
"clientId","55087","62075"
"clientId","55088","62076"
"clientId","55089","62077"
"clientId","55090","62078"
"clientId","55091","62079"
"clientId","55092","62080"
"clientId","55093","62081"
"clientId","55110","62082"
"clientId","55121","62083"
"clientId","55131","62084"
"clientId","55132","62085"
"clientId","55138","62086"
"clientId","55246","62087"
"clientId","55247","62088"
"clientId","55256","62089"
"clientId","55262","62090"
"clientId","55266","62091"
"clientId","55267","62092"
"clientId","55278","62093"
"clientId","55300","62094"
"clientId","55303","62095"
"clientId","55308","62096"
"clientId","55310","62097"
"clientId","55559","62098"
"clientId","55560","62099"
"clientId","55562","62100"
"clientId","55565","62101"
"clientId","55567","62102"
"clientId","55568","62103"
"clientId","55569","62104"
"clientId","55570","62105"
"clientId","55585","62106"
"clientId","55591","62107"
"clientId","55592","62108"
"clientId","55610","62109"
"clientId","55611","62110"
"clientId","55612","62111"
"clientId","55649","62112"
"clientId","55650","62113"
"clientId","55651","62114"
"clientId","55755","62115"
"clientId","55756","62116"
"clientId","55770","62117"
"clientId","55771","62118"
"clientId","55772","62119"
"clientId","55827","62120"
"clientId","55828","62121"
"clientId","55855","62122"
"clientId","55856","62123"
"clientId","55857","62124"
"clientId","55885","62125"
"clientId","55889","62126"
"clientId","55891","62127"
"clientId","55895","62128"
"clientId","55915","62129"
"clientId","55922","62130"
"clientId","55933","62131"
"clientId","55934","62132"
"clientId","55935","62133"
"clientId","55936","62134"
"clientId","55937","62135"
"clientId","55938","62136"
"clientId","55939","62137"
"clientId","55940","62138"
"clientId","55941","62139"
"clientId","55942","62140"
"clientId","55943","62141"
"clientId","55944","62142"
"clientId","55945","62143"
"clientId","55966","62144"
"clientId","55987","62145"
"clientId","56060","62146"
"clientId","56064","62147"
"clientId","56071","62148"
"clientId","56074","62149"
"clientId","56097","62150"
"clientId","56126","62151"
"clientId","56127","62152"
"clientId","56128","62153"
"clientId","56129","62154"
"clientId","56130","62155"
"clientId","56131","62156"
"clientId","56132","62157"
"clientId","56133","62158"
"clientId","56134","62159"
"clientId","56142","62160"
"clientId","56232","62161"
"clientId","56233","62162"
"clientId","56234","62163"
"clientId","56235","62164"
"clientId","56236","62165"
"clientId","56237","62166"
"clientId","56238","62167"
"clientId","56239","62168"
"clientId","56240","62169"
"clientId","56241","62170"
"clientId","56242","62171"
"clientId","56252","62172"
"clientId","56256","62173"
"clientId","56275","62174"
"clientId","56288","62175"
"clientId","56297","62176"
"clientId","56298","62177"
"clientId","56299","62178"
"clientId","56313","62179"
"clientId","56324","62180"
"clientId","56336","62181"
"clientId","56358","62182"
"clientId","56364","62183"
"clientId","56442","62184"
"clientId","56443","62185"
"clientId","56444","62186"
"clientId","56445","62187"
"clientId","56457","62188"
"clientId","56463","62189"
"clientId","56481","62190"
"clientId","56491","62191"
"clientId","56492","62192"
"clientId","56493","62193"
"clientId","56494","62194"
"clientId","56495","62195"
"clientId","56496","62196"
"clientId","56513","62197"
"clientId","56550","62198"
"clientId","56551","62199"
"clientId","56646","62200"
"clientId","56647","62201"
"clientId","56648","62202"
"clientId","56649","62203"
"clientId","56650","62204"
"clientId","56661","62205"
"clientId","56663","62206"
"clientId","56680","62207"
"clientId","56687","62208"
"clientId","56688","62209"
"clientId","56728","62210"
"clientId","56750","62211"
"clientId","56759","62212"
"clientId","56875","62213"
"clientId","56876","62214"
"clientId","56877","62215"
