"TABLE","emr","cert"
"clientId","34009","52678"
"clientId","34010","52679"
"clientId","34325","52680"
"clientId","34804","52681"
"clientId","34828","52682"
"clientId","35077","52683"
"clientId","35449","52684"
"clientId","36027","52685"
"clientId","36028","52686"
"clientId","36100","52687"
"clientId","36101","52688"
"clientId","36104","52689"
"clientId","36106","52690"
"clientId","36730","52691"
"clientId","36732","52692"
"clientId","36733","52693"
"clientId","36736","52694"
"clientId","36738","52695"
"clientId","36742","52696"
"clientId","36761","52697"
"clientId","36767","52698"
"clientId","37190","52699"
"clientId","38195","52700"
"clientId","38492","52701"
"clientId","38504","52702"
"clientId","39077","52703"
"clientId","39170","52704"
"clientId","39259","52705"
"clientId","39292","52706"
"clientId","39426","52707"
"clientId","39446","52708"
"clientId","39464","52709"
"clientId","39465","52710"
"clientId","39466","52711"
"clientId","39547","52712"
"clientId","39669","52713"
"clientId","39774","52714"
"clientId","39805","52715"
"clientId","39820","52716"
"clientId","40265","52717"
"clientId","40366","52718"
"clientId","40660","52719"
"clientId","40662","52720"
"clientId","40687","52721"
"clientId","40691","52722"
"clientId","40804","52723"
"clientId","40873","52724"
"clientId","40875","52725"
"clientId","40880","52726"
"clientId","41023","52727"
"clientId","41301","52728"
"clientId","41310","52729"
"clientId","41385","52730"
"clientId","41398","52731"
"clientId","41624","52732"
"clientId","41711","52733"
"clientId","41843","52734"
"clientId","41990","52735"
"clientId","42206","52736"
"clientId","42211","52737"
"clientId","42219","52738"
"clientId","42220","52739"
"clientId","42222","52740"
"clientId","42330","52741"
"clientId","42332","52742"
"clientId","42503","52743"
"clientId","42505","52744"
"clientId","42624","52745"
"clientId","42758","52746"
"clientId","42759","52747"
"clientId","43110","52748"
"clientId","43118","52749"
"clientId","43129","52750"
"clientId","43229","52751"
"clientId","43233","52752"
"clientId","43413","52753"
"clientId","43421","52754"
"clientId","43494","52755"
"clientId","43500","52756"
"clientId","43501","52757"
"clientId","43537","52758"
"clientId","43780","52759"
"clientId","44025","52760"
"clientId","44165","52761"
"clientId","44362","52762"
"clientId","44972","52763"
"clientId","44973","52764"
"clientId","45005","52765"
"clientId","45548","52766"
"clientId","45551","52767"
"clientId","46079","52768"
"clientId","46396","52769"
"clientId","46397","52770"
"clientId","46679","52771"
"clientId","47460","52772"
"clientId","47469","52773"
"clientId","47787","52774"
"clientId","48091","52775"
"clientId","48414","52776"
"clientId","48428","52777"
"clientId","49775","52778"
"clientId","49826","52779"
"clientId","49830","52780"
"clientId","50052","52781"
"clientId","50200","52782"
"clientId","50743","52783"
"clientId","50762","52784"
"clientId","50765","52785"
"clientId","50812","52786"
"clientId","50833","52787"
"clientId","51025","52788"
"clientId","51082","52789"
"clientId","51284","52790"
"clientId","51306","52791"
"clientId","51432","52792"
"clientId","51462","52793"
"clientId","51523","52794"
"clientId","51817","52795"
"clientId","51889","52796"
"clientId","51963","52797"
"clientId","52056","52798"
"clientId","52193","52799"
"clientId","52253","52800"
"clientId","52390","52801"
"clientId","52393","52802"
"clientId","52401","52803"
"clientId","52404","52804"
"clientId","52405","52805"
"clientId","52577","52806"
"clientId","52585","52807"
"clientId","52671","52808"
"clientId","52682","52809"
"clientId","52803","52810"
"clientId","52809","52811"
"clientId","52810","52812"
"clientId","52943","52813"
"clientId","53007","52814"
"clientId","53010","52815"
"clientId","53015","52816"
"clientId","53058","52817"
"clientId","53330","52818"
"clientId","53365","52819"
"clientId","53390","52820"
"clientId","53398","52821"
"clientId","53470","52822"
"clientId","53547","52823"
"clientId","53591","52824"
"clientId","53697","52825"
"clientId","53833","52826"
"clientId","53900","52827"
"clientId","53969","52828"
"clientId","54081","52829"
"clientId","54099","52830"
"clientId","54111","52831"
"clientId","54182","52832"
"clientId","54241","52833"
"clientId","54246","52834"
"clientId","54258","52835"
"clientId","54392","52836"
"clientId","54394","52837"
"clientId","54396","52838"
"clientId","54398","52839"
"clientId","54403","52840"
"clientId","54428","52841"
"clientId","54502","52842"
"clientId","54570","52843"
"clientId","54601","52844"
"clientId","54604","52845"
"clientId","54998","52846"
"clientId","55057","52847"
"clientId","55119","52848"
"clientId","55134","52849"
"clientId","55257","52850"
"clientId","55258","52851"
"clientId","55498","52852"
"clientId","55516","52853"
"clientId","55614","52854"
"clientId","55696","52855"
"clientId","55976","52856"
"clientId","56043","52857"
"clientId","56089","52858"
"clientId","56166","52859"
"clientId","56168","52860"
"clientId","56348","52861"
"clientId","56357","52862"
"clientId","56363","52863"
"clientId","56524","52864"
"clientId","56525","52865"
"clientId","56526","52866"
"clientId","56823","52867"
"clientId","56865","52868"
"clientId","56994","52869"
"clientId","57039","52870"
"clientId","57095","52871"
"clientId","57101","52872"
"clientId","57109","52873"
"clientId","57855","52874"
"clientId","57924","52875"
"clientId","57926","52876"
"clientId","58114","52877"
"clientId","58328","52878"
"clientId","58336","52879"
"clientId","58426","52880"
"clientId","58432","52881"
"clientId","58455","52882"
"clientId","58457","52883"
"clientId","58550","52884"
"clientId","58960","52885"
"clientId","59125","52886"
"clientId","59259","52887"
"clientId","59260","52888"
"clientId","59363","52889"
"clientId","59393","52890"
"clientId","59605","52891"
"clientId","59899","52892"
"clientId","59925","52893"
"clientId","59927","52894"
"clientId","59958","52895"
"clientId","60045","52896"
"clientId","60060","52897"
"clientId","60349","52898"
"clientId","60392","52899"
"clientId","60411","52900"
"clientId","60469","52901"
"clientId","60549","52902"
"clientId","60554","52903"
"clientId","60560","52904"
"clientId","60748","52905"
"clientId","60823","52906"
"clientId","60835","52907"
"clientId","60860","52908"
"clientId","60873","52909"
"clientId","60943","52910"
"clientId","60946","52911"
"clientId","60997","52912"
"clientId","60999","52913"
"clientId","61001","52914"
"clientId","61091","52915"
"clientId","61259","52916"
"clientId","61319","52917"
"clientId","61343","52918"
"clientId","61484","52919"
"clientId","61600","52920"
"clientId","61624","52921"
"clientId","61632","52922"
"clientId","61707","52923"
"clientId","61868","52924"
"clientId","61948","52925"
"clientId","62186","52926"
"clientId","62268","52927"
"clientId","62273","52928"
"clientId","62274","52929"
"clientId","62314","52930"
"clientId","62321","52931"
"clientId","62426","52932"
"clientId","62429","52933"
"clientId","62596","52934"
"clientId","62632","52935"
"clientId","62641","52936"
"clientId","62866","52937"
"clientId","62867","52938"
"clientId","62868","52939"
"clientId","62876","52940"
"clientId","62877","52941"
"clientId","62920","52942"
"clientId","62924","52943"
"clientId","62998","52944"
"clientId","63057","52945"
"clientId","63256","52946"
"clientId","63277","52947"
"clientId","63279","52948"
"clientId","63281","52949"
"clientId","63288","52950"
"clientId","63362","52951"
"clientId","63363","52952"
"clientId","63659","52953"
"clientId","63664","52954"
"clientId","63665","52955"
"clientId","63750","52956"
"clientId","63756","52957"
"clientId","63916","52958"
"clientId","63953","52959"
"clientId","64054","52960"
"clientId","64056","52961"
"clientId","64118","52962"
"clientId","64119","52963"
"clientId","64124","52964"
"clientId","64170","52965"
"clientId","64178","52966"
"clientId","64179","52967"
