"TABLE","emr","cert"
"clientId","4694","47380"
"clientId","4699","47381"
"clientId","4745","47382"
"clientId","5587","47383"
"clientId","5589","47384"
"clientId","5590","47385"
"clientId","5591","47386"
"clientId","6283","47387"
"clientId","6285","47388"
"clientId","6286","47389"
"clientId","6287","47390"
"clientId","6288","47391"
"clientId","6292","47392"
"clientId","6293","47393"
"clientId","6294","47394"
"clientId","6295","47395"
"clientId","6315","47396"
"clientId","6316","47397"
"clientId","6317","47398"
"clientId","6318","47399"
"clientId","6319","47400"
"clientId","6320","47401"
"clientId","6321","47402"
"clientId","6322","47403"
"clientId","6323","47404"
"clientId","6324","47405"
"clientId","6325","47406"
"clientId","6510","47407"
"clientId","6516","47408"
"clientId","6519","47409"
"clientId","6521","47410"
"clientId","6538","47411"
"clientId","6540","47412"
"clientId","6608","47413"
"clientId","6611","47414"
"clientId","6643","47415"
"clientId","6644","47416"
"clientId","6646","47417"
"clientId","6647","47418"
"clientId","6648","47419"
"clientId","6649","47420"
"clientId","6651","47421"
"clientId","6652","47422"
"clientId","6653","47423"
"clientId","8028","47424"
"clientId","8032","47425"
"clientId","8033","47426"
"clientId","8034","47427"
"clientId","8083","47428"
"clientId","8085","47429"
"clientId","8087","47430"
"clientId","8090","47431"
"clientId","8138","47432"
"clientId","8160","47433"
"clientId","8161","47434"
"clientId","8162","47435"
"clientId","8163","47436"
"clientId","8164","47437"
"clientId","8166","47438"
"clientId","8195","47439"
"clientId","8196","47440"
"clientId","8197","47441"
"clientId","8198","47442"
"clientId","8199","47443"
"clientId","8200","47444"
"clientId","8222","47445"
"clientId","8575","47446"
"clientId","9009","47447"
"clientId","9534","47448"
"clientId","9591","47449"
"clientId","9592","47450"
"clientId","9593","47451"
"clientId","9594","47452"
"clientId","9595","47453"
"clientId","9596","47454"
"clientId","9598","47455"
"clientId","9599","47456"
"clientId","9600","47457"
"clientId","9601","47458"
"clientId","9602","47459"
"clientId","9604","47460"
"clientId","9605","47461"
"clientId","9606","47462"
"clientId","9607","47463"
"clientId","9615","47464"
"clientId","9616","47465"
"clientId","9617","47466"
"clientId","9618","47467"
"clientId","9619","47468"
"clientId","9620","47469"
"clientId","9790","47470"
"clientId","10341","47471"
"clientId","10977","47472"
"clientId","12459","47473"
"clientId","12519","47474"
"clientId","12520","47475"
"clientId","12521","47476"
"clientId","13106","47477"
"clientId","13166","47478"
"clientId","13388","47479"
"clientId","13807","47480"
"clientId","16793","47481"
"clientId","17298","47482"
"clientId","17299","47483"
"clientId","17300","47484"
"clientId","17301","47485"
"clientId","17302","47486"
"clientId","17303","47487"
"clientId","17304","47488"
"clientId","17305","47489"
"clientId","17821","47490"
"clientId","18242","47491"
"clientId","18244","47492"
"clientId","21107","47493"
"clientId","22634","47494"
"clientId","22636","47495"
