"TABLE","emr","cert"
"clientId","43462","54986"
"clientId","43490","54987"
"clientId","43493","54988"
"clientId","43522","54989"
"clientId","43550","54990"
"clientId","43551","54991"
"clientId","43553","54992"
"clientId","43554","54993"
"clientId","43555","54994"
"clientId","43556","54995"
"clientId","43604","54996"
"clientId","43606","54997"
"clientId","43609","54998"
"clientId","43610","54999"
"clientId","43613","55000"
"clientId","43614","55001"
"clientId","43615","55002"
"clientId","43616","55003"
"clientId","43617","55004"
"clientId","43618","55005"
"clientId","43619","55006"
"clientId","43623","55007"
"clientId","43627","55008"
"clientId","43628","55009"
"clientId","43629","55010"
"clientId","43632","55011"
"clientId","43633","55012"
"clientId","43634","55013"
"clientId","43636","55014"
"clientId","43639","55015"
"clientId","43642","55016"
"clientId","43643","55017"
"clientId","43644","55018"
"clientId","43647","55019"
"clientId","43649","55020"
"clientId","43651","55021"
"clientId","43653","55022"
"clientId","43654","55023"
"clientId","43655","55024"
"clientId","43656","55025"
"clientId","43657","55026"
"clientId","43658","55027"
"clientId","43661","55028"
"clientId","43662","55029"
"clientId","43663","55030"
"clientId","43664","55031"
"clientId","43666","55032"
"clientId","43667","55033"
"clientId","43671","55034"
"clientId","43674","55035"
"clientId","43676","55036"
"clientId","43678","55037"
"clientId","43679","55038"
"clientId","43680","55039"
"clientId","43683","55040"
"clientId","43684","55041"
"clientId","43685","55042"
"clientId","43686","55043"
"clientId","43732","55044"
"clientId","43739","55045"
"clientId","43744","55046"
"clientId","43745","55047"
"clientId","43748","55048"
"clientId","43754","55049"
"clientId","43755","55050"
"clientId","43757","55051"
"clientId","43761","55052"
"clientId","43762","55053"
"clientId","43763","55054"
"clientId","43765","55055"
"clientId","43767","55056"
"clientId","43769","55057"
"clientId","43770","55058"
"clientId","43771","55059"
"clientId","43772","55060"
"clientId","43775","55061"
"clientId","43777","55062"
"clientId","43793","55063"
"clientId","43800","55064"
"clientId","43804","55065"
"clientId","43809","55066"
"clientId","43813","55067"
"clientId","43814","55068"
"clientId","43815","55069"
"clientId","43816","55070"
"clientId","43817","55071"
"clientId","43819","55072"
"clientId","43821","55073"
"clientId","43824","55074"
"clientId","43826","55075"
"clientId","43827","55076"
"clientId","43833","55077"
"clientId","43839","55078"
"clientId","43845","55079"
"clientId","43846","55080"
"clientId","43864","55081"
"clientId","43865","55082"
"clientId","43868","55083"
"clientId","43870","55084"
"clientId","43875","55085"
"clientId","43876","55086"
"clientId","43896","55087"
"clientId","43898","55088"
"clientId","43905","55089"
"clientId","43906","55090"
"clientId","43907","55091"
"clientId","43910","55092"
"clientId","43912","55093"
"clientId","43918","55094"
"clientId","43921","55095"
"clientId","43923","55096"
"clientId","43924","55097"
"clientId","43925","55098"
"clientId","43971","55099"
"clientId","43974","55100"
"clientId","43975","55101"
"clientId","43977","55102"
"clientId","43979","55103"
"clientId","43980","55104"
"clientId","43981","55105"
"clientId","43982","55106"
"clientId","43984","55107"
"clientId","43987","55108"
"clientId","43994","55109"
"clientId","43995","55110"
"clientId","43996","55111"
"clientId","43998","55112"
"clientId","43999","55113"
"clientId","44001","55114"
"clientId","44002","55115"
"clientId","44003","55116"
"clientId","44004","55117"
"clientId","44006","55118"
"clientId","44010","55119"
"clientId","44012","55120"
"clientId","44014","55121"
"clientId","44016","55122"
"clientId","44019","55123"
"clientId","44021","55124"
"clientId","44028","55125"
"clientId","44030","55126"
"clientId","44079","55127"
"clientId","44080","55128"
"clientId","44087","55129"
"clientId","44088","55130"
"clientId","44089","55131"
"clientId","44090","55132"
"clientId","44091","55133"
"clientId","44093","55134"
"clientId","44108","55135"
"clientId","44114","55136"
"clientId","44115","55137"
"clientId","44116","55138"
"clientId","44118","55139"
"clientId","44121","55140"
"clientId","44131","55141"
"clientId","44134","55142"
"clientId","44136","55143"
"clientId","44137","55144"
"clientId","44138","55145"
"clientId","44143","55146"
"clientId","44146","55147"
"clientId","44150","55148"
"clientId","44152","55149"
"clientId","44153","55150"
"clientId","44156","55151"
"clientId","44158","55152"
"clientId","44161","55153"
"clientId","44204","55154"
"clientId","44205","55155"
"clientId","44208","55156"
"clientId","44210","55157"
"clientId","44211","55158"
"clientId","44216","55159"
"clientId","44217","55160"
"clientId","44220","55161"
"clientId","44221","55162"
"clientId","44222","55163"
"clientId","44224","55164"
"clientId","44225","55165"
"clientId","44226","55166"
"clientId","44229","55167"
"clientId","44232","55168"
"clientId","44233","55169"
"clientId","44243","55170"
"clientId","44244","55171"
"clientId","44247","55172"
"clientId","44248","55173"
"clientId","44249","55174"
"clientId","44255","55175"
"clientId","44256","55176"
"clientId","44260","55177"
"clientId","44261","55178"
"clientId","44268","55179"
"clientId","44270","55180"
"clientId","44272","55181"
"clientId","44273","55182"
"clientId","44407","55183"
"clientId","44412","55184"
"clientId","44414","55185"
"clientId","44416","55186"
"clientId","44417","55187"
"clientId","44418","55188"
"clientId","44427","55189"
"clientId","44443","55190"
"clientId","44447","55191"
"clientId","44449","55192"
"clientId","44464","55193"
"clientId","44466","55194"
"clientId","44468","55195"
"clientId","44469","55196"
"clientId","44471","55197"
"clientId","44473","55198"
"clientId","44475","55199"
"clientId","44479","55200"
"clientId","44485","55201"
"clientId","44486","55202"
"clientId","44487","55203"
"clientId","44488","55204"
"clientId","44491","55205"
"clientId","44493","55206"
"clientId","44494","55207"
"clientId","44495","55208"
"clientId","44496","55209"
"clientId","44497","55210"
"clientId","44498","55211"
"clientId","44499","55212"
"clientId","44500","55213"
"clientId","44501","55214"
"clientId","44504","55215"
"clientId","44506","55216"
"clientId","44509","55217"
"clientId","44513","55218"
"clientId","44515","55219"
"clientId","44518","55220"
"clientId","44520","55221"
"clientId","44521","55222"
"clientId","44522","55223"
"clientId","44538","55224"
"clientId","44564","55225"
"clientId","44566","55226"
"clientId","44568","55227"
"clientId","44570","55228"
"clientId","44571","55229"
"clientId","44573","55230"
"clientId","44606","55231"
"clientId","44607","55232"
"clientId","44608","55233"
"clientId","44610","55234"
"clientId","44611","55235"
"clientId","44612","55236"
"clientId","44613","55237"
"clientId","44614","55238"
"clientId","44616","55239"
"clientId","44617","55240"
"clientId","44618","55241"
"clientId","44619","55242"
"clientId","44620","55243"
"clientId","44621","55244"
"clientId","44632","55245"
"clientId","44633","55246"
"clientId","44634","55247"
"clientId","44635","55248"
"clientId","44636","55249"
"clientId","44637","55250"
"clientId","44638","55251"
"clientId","44639","55252"
"clientId","44640","55253"
"clientId","44641","55254"
"clientId","44649","55255"
"clientId","44651","55256"
"clientId","44653","55257"
"clientId","44654","55258"
"clientId","44657","55259"
"clientId","44658","55260"
"clientId","44660","55261"
"clientId","44661","55262"
"clientId","44662","55263"
"clientId","44663","55264"
"clientId","44664","55265"
"clientId","44666","55266"
"clientId","44667","55267"
"clientId","44669","55268"
"clientId","44670","55269"
"clientId","44671","55270"
"clientId","44672","55271"
"clientId","44673","55272"
"clientId","44674","55273"
"clientId","44675","55274"
"clientId","44676","55275"
"clientId","44677","55276"
