"TABLE","emr","cert"
"clientId","20564","51814"
"clientId","20824","51815"
"clientId","20827","51816"
"clientId","20840","51817"
"clientId","20859","51818"
"clientId","20940","51819"
"clientId","20941","51820"
"clientId","20944","51821"
"clientId","21865","51822"
"clientId","21867","51823"
"clientId","22175","51824"
"clientId","29428","51825"
"clientId","29436","51826"
"clientId","29448","51827"
"clientId","29452","51828"
"clientId","34215","51829"
"clientId","34222","51830"
"clientId","34228","51831"
"clientId","36453","51832"
"clientId","36457","51833"
"clientId","36472","51834"
"clientId","36478","51835"
"clientId","36580","51836"
"clientId","36883","51837"
"clientId","37679","51838"
"clientId","37684","51839"
"clientId","38303","51840"
"clientId","38972","51841"
"clientId","38973","51842"
"clientId","39578","51843"
"clientId","39595","51844"
"clientId","39597","51845"
"clientId","39816","51846"
"clientId","42823","51847"
"clientId","42830","51848"
"clientId","42833","51849"
"clientId","43808","51850"
"clientId","43828","51851"
"clientId","43838","51852"
"clientId","43895","51853"
"clientId","44347","51854"
"clientId","44350","51855"
"clientId","50785","51856"
"clientId","51436","51857"
"clientId","51477","51858"
"clientId","51522","51859"
"clientId","51528","51860"
"clientId","51540","51861"
"clientId","52318","51862"
"clientId","52503","51863"
"clientId","52564","51864"
"clientId","52677","51865"
"clientId","52912","51866"
"clientId","52921","51867"
"clientId","52924","51868"
"clientId","53066","51869"
"clientId","53068","51870"
"clientId","53316","51871"
"clientId","53319","51872"
"clientId","53449","51873"
"clientId","53452","51874"
"clientId","53460","51875"
"clientId","54187","51876"
"clientId","54237","51877"
"clientId","54404","51878"
"clientId","54420","51879"
"clientId","54423","51880"
"clientId","54595","51881"
"clientId","54889","51882"
"clientId","54893","51883"
"clientId","54906","51884"
"clientId","54909","51885"
"clientId","55674","51886"
"clientId","55679","51887"
"clientId","55907","51888"
"clientId","56360","51889"
"clientId","56366","51890"
"clientId","56410","51891"
"clientId","56416","51892"
"clientId","56424","51893"
"clientId","56437","51894"
"clientId","56460","51895"
"clientId","56465","51896"
"clientId","56867","51897"
"clientId","57005","51898"
"clientId","57114","51899"
"clientId","57954","51900"
"clientId","57993","51901"
"clientId","58004","51902"
"clientId","58038","51903"
"clientId","58443","51904"
"clientId","60062","51905"
"clientId","60068","51906"
"clientId","60945","51907"
"clientId","61335","51908"
"clientId","61804","51909"
"clientId","69454","51910"
"clientId","69866","51911"
"clientId","70682","51912"
"clientId","71179","51913"
"clientId","71183","51914"
"clientId","71905","51915"
"clientId","72651","51916"
"clientId","72966","51917"
"clientId","73690","51918"
"clientId","74043","51919"
"clientId","88684","51920"
"clientId","89012","51921"
"clientId","89044","51922"
"clientId","91806","51923"
"clientId","92130","51924"
"clientId","92217","51925"
"clientId","93322","51926"
"clientId","93855","51927"
"clientId","94148","51928"
"clientId","94155","51929"
"clientId","94168","51930"
"clientId","94173","51931"
"clientId","94198","51932"
"clientId","94206","51933"
"clientId","94228","51934"
"clientId","94234","51935"
"clientId","94238","51936"
"clientId","94271","51937"
"clientId","94282","51938"
"clientId","94291","51939"
"clientId","94292","51940"
"clientId","94294","51941"
"clientId","94303","51942"
"clientId","94304","51943"
"clientId","94305","51944"
"clientId","94306","51945"
"clientId","94307","51946"
"clientId","94350","51947"
"clientId","94352","51948"
"clientId","94357","51949"
"clientId","94376","51950"
"clientId","94377","51951"
"clientId","94422","51952"
"clientId","94493","51953"
"clientId","94497","51954"
"clientId","94518","51955"
"clientId","94546","51956"
"clientId","94573","51957"
"clientId","94574","51958"
"clientId","94578","51959"
"clientId","94608","51960"
"clientId","94615","51961"
"clientId","94616","51962"
"clientId","94617","51963"
"clientId","94618","51964"
"clientId","94627","51965"
"clientId","94629","51966"
"clientId","94631","51967"
"clientId","94632","51968"
"clientId","94636","51969"
"clientId","94695","51970"
"clientId","94703","51971"
"clientId","94707","51972"
"clientId","94718","51973"
"clientId","94740","51974"
"clientId","94761","51975"
"clientId","94767","51976"
"clientId","94810","51977"
"clientId","94818","51978"
"clientId","94829","51979"
"clientId","94854","51980"
"clientId","94856","51981"
"clientId","94858","51982"
"clientId","94860","51983"
"clientId","94871","51984"
"clientId","94925","51985"
"clientId","94933","51986"
"clientId","94936","51987"
"clientId","94937","51988"
"clientId","94940","51989"
"clientId","95056","51990"
"clientId","95059","51991"
"clientId","95073","51992"
"clientId","95086","51993"
"clientId","95088","51994"
"clientId","95114","51995"
"clientId","95119","51996"
"clientId","95125","51997"
"clientId","95137","51998"
"clientId","95140","51999"
"clientId","95143","52000"
"clientId","95153","52001"
"clientId","95182","52002"
"clientId","95205","52003"
"clientId","95231","52004"
"clientId","95233","52005"
"clientId","95257","52006"
"clientId","95263","52007"
"clientId","95264","52008"
"clientId","95295","52009"
"clientId","95298","52010"
"clientId","95302","52011"
"clientId","95307","52012"
"clientId","95313","52013"
"clientId","95320","52014"
"clientId","95322","52015"
"clientId","95351","52016"
"clientId","95373","52017"
"clientId","95408","52018"
"clientId","95416","52019"
"clientId","95419","52020"
"clientId","95423","52021"
"clientId","95424","52022"
"clientId","95425","52023"
"clientId","95427","52024"
"clientId","95472","52025"
"clientId","95476","52026"
"clientId","95523","52027"
"clientId","95555","52028"
"clientId","95557","52029"
"clientId","95576","52030"
"clientId","95595","52031"
"clientId","95601","52032"
"clientId","95602","52033"
"clientId","95652","52034"
"clientId","95654","52035"
"clientId","95656","52036"
"clientId","95657","52037"
"clientId","95662","52038"
"clientId","95665","52039"
"clientId","95686","52040"
"clientId","95693","52041"
"clientId","95716","52042"
"clientId","95719","52043"
"clientId","95724","52044"
"clientId","95734","52045"
"clientId","95763","52046"
"clientId","95833","52047"
"clientId","95860","52048"
"clientId","95865","52049"
"clientId","95869","52050"
"clientId","95889","52051"
"clientId","95890","52052"
"clientId","95904","52053"
"clientId","95905","52054"
"clientId","95929","52055"
"clientId","95934","52056"
"clientId","95939","52057"
"clientId","95941","52058"
"clientId","95970","52059"
"clientId","95971","52060"
"clientId","95981","52061"
"clientId","95982","52062"
"clientId","95997","52063"
"clientId","96033","52064"
"clientId","96041","52065"
"clientId","96042","52066"
"clientId","96043","52067"
"clientId","96079","52068"
"clientId","96081","52069"
"clientId","96082","52070"
"clientId","96110","52071"
"clientId","96124","52072"
"clientId","96140","52073"
"clientId","96142","52074"
"clientId","96144","52075"
"clientId","96153","52076"
"clientId","96155","52077"
"clientId","96175","52078"
"clientId","96185","52079"
"clientId","96188","52080"
"clientId","96241","52081"
"clientId","96256","52082"
"clientId","96260","52083"
"clientId","96282","52084"
"clientId","96283","52085"
"clientId","96290","52086"
"clientId","96297","52087"
"clientId","96302","52088"
"clientId","96339","52089"
"clientId","96340","52090"
"clientId","96361","52091"
"clientId","96387","52092"
"clientId","96400","52093"
"clientId","96403","52094"
"clientId","96411","52095"
"clientId","96466","52096"
"clientId","96492","52097"
"clientId","96493","52098"
"clientId","96550","52099"
"clientId","96585","52100"
"clientId","96610","52101"
"clientId","96613","52102"
"clientId","96905","52103"
"clientId","96942","52104"
"clientId","96945","52105"
"clientId","97100","52106"
"clientId","97165","52107"
"clientId","97170","52108"
"clientId","97174","52109"
"clientId","97191","52110"
"clientId","97234","52111"
"clientId","97239","52112"
"clientId","97242","52113"
"clientId","97254","52114"
"clientId","97258","52115"
"clientId","97283","52116"
"clientId","97298","52117"
"clientId","97313","52118"
"clientId","97347","52119"
"clientId","97363","52120"
"clientId","97373","52121"
"clientId","97443","52122"
"clientId","97450","52123"
"clientId","97515","52124"
"clientId","97518","52125"
"clientId","97528","52126"
"clientId","97558","52127"
"clientId","97583","52128"
"clientId","97613","52129"
"clientId","97614","52130"
"clientId","97639","52131"
"clientId","97640","52132"
"clientId","97678","52133"
"clientId","97683","52134"
"clientId","97695","52135"
"clientId","97714","52136"
"clientId","97729","52137"
"clientId","97765","52138"
"clientId","97773","52139"
"clientId","97809","52140"
"clientId","97812","52141"
"clientId","97814","52142"
"clientId","97853","52143"
"clientId","97865","52144"
"clientId","97893","52145"
"clientId","97897","52146"
"clientId","97898","52147"
"clientId","97902","52148"
"clientId","97905","52149"
"clientId","97916","52150"
"clientId","97969","52151"
"clientId","97970","52152"
"clientId","97971","52153"
"clientId","97990","52154"
"clientId","98013","52155"
"clientId","98036","52156"
"clientId","98037","52157"
"clientId","98047","52158"
"clientId","98072","52159"
"clientId","98105","52160"
"clientId","98107","52161"
"clientId","98108","52162"
"clientId","98116","52163"
"clientId","98117","52164"
"clientId","98123","52165"
"clientId","98152","52166"
"clientId","98166","52167"
"clientId","98194","52168"
"clientId","98203","52169"
"clientId","98207","52170"
"clientId","98233","52171"
"clientId","98246","52172"
"clientId","98247","52173"
"clientId","98280","52174"
"clientId","98283","52175"
"clientId","98284","52176"
"clientId","98353","52177"
"clientId","98359","52178"
"clientId","98360","52179"
"clientId","98361","52180"
"clientId","98383","52181"
"clientId","98386","52182"
"clientId","98389","52183"
"clientId","98421","52184"
"clientId","98426","52185"
"clientId","98432","52186"
"clientId","98433","52187"
"clientId","98434","52188"
"clientId","98460","52189"
"clientId","98464","52190"
"clientId","98466","52191"
"clientId","98498","52192"
"clientId","98531","52193"
"clientId","98542","52194"
"clientId","98546","52195"
"clientId","98548","52196"
"clientId","98602","52197"
"clientId","98603","52198"
"clientId","98783","52199"
"clientId","98874","52200"
"clientId","98900","52201"
"clientId","98904","52202"
"clientId","98935","52203"
"clientId","99027","52204"
"clientId","99032","52205"
"clientId","99097","52206"
"clientId","99101","52207"
"clientId","99120","52208"
"clientId","99143","52209"
"clientId","99164","52210"
"clientId","99167","52211"
"clientId","99172","52212"
"clientId","99177","52213"
"clientId","99181","52214"
"clientId","99213","52215"
"clientId","99214","52216"
"clientId","99225","52217"
"clientId","99261","52218"
"clientId","99263","52219"
"clientId","99274","52220"
"clientId","99279","52221"
"clientId","99301","52222"
"clientId","99313","52223"
"clientId","99389","52224"
"clientId","99447","52225"
"clientId","99635","52226"
"clientId","99651","52227"
"clientId","99664","52228"
"clientId","99666","52229"
"clientId","99762","52230"
"clientId","99763","52231"
"clientId","99764","52232"
"clientId","99807","52233"
"clientId","99813","52234"
"clientId","99827","52235"
"clientId","99828","52236"
"clientId","99835","52237"
"clientId","99875","52238"
"clientId","99900","52239"
"clientId","99908","52240"
"clientId","99925","52241"
"clientId","99926","52242"
"clientId","99935","52243"
"clientId","99942","52244"
"clientId","99951","52245"
"clientId","99953","52246"
"clientId","99978","52247"
