"TABLE","emr","cert"
"clientId","5630","51770"
"clientId","7459","51771"
"clientId","8381","51772"
"clientId","9404","51773"
"clientId","9420","51774"
"clientId","9461","51775"
"clientId","9780","51776"
"clientId","9914","51777"
"clientId","9936","51778"
"clientId","10731","51779"
"clientId","12781","51780"
"clientId","18643","51781"
"clientId","19072","51782"
"clientId","19073","51783"
"clientId","19408","51784"
"clientId","19532","51785"
"clientId","23458","51786"
"clientId","23464","51787"
"clientId","23465","51788"
"clientId","27556","51789"
"clientId","27794","51790"
"clientId","28354","51791"
"clientId","34605","51792"
"clientId","39113","51793"
"clientId","42147","51794"
"clientId","51762","51795"
"clientId","56314","51796"
"clientId","56406","51797"
"clientId","56411","51798"
"clientId","60941","51799"
"clientId","61533","51800"
"clientId","64510","51801"
"clientId","72111","51802"
"clientId","97390","51803"
"clientId","99356","51804"
"clientId","99684","51805"
"clientId","99687","51806"
"clientId","99802","51807"
"clientId","100811","51808"
"clientId","101482","51809"
"clientId","102193","51810"
"clientId","102700","51811"
"clientId","102787","51812"
"clientId","102790","51813"
"sessionId","7261","162041"
"sessionId","9278","162042"
"sessionId","10560","162043"
"sessionId","12105","162044"
"sessionId","12142","162045"
"sessionId","12207","162046"
"sessionId","12756","162047"
"sessionId","12950","162048"
"sessionId","12996","162049"
"sessionId","14305","162050"
"sessionId","17878","162051"
"sessionId","30499","162052"
"sessionId","30500","162053"
"sessionId","31631","162054"
"sessionId","31633","162055"
"sessionId","32536","162056"
"sessionId","32904","162057"
"sessionId","43894","162058"
"sessionId","43907","162059"
"sessionId","43908","162060"
"sessionId","54616","162061"
"sessionId","55256","162062"
"sessionId","56684","162063"
"sessionId","62830","162064"
"sessionId","62842","162065"
"sessionId","73530","162066"
"sessionId","85569","162067"
"sessionId","85578","162068"
"sessionId","85579","162069"
"sessionId","94691","162070"
"sessionId","95871","162071"
"sessionId","95884","162072"
"sessionId","95885","162073"
"sessionId","98039","162074"
"sessionId","98049","162075"
"sessionId","98150","162076"
"sessionId","111571","162077"
"sessionId","116358","162078"
"sessionId","125370","162079"
"sessionId","125373","162080"
"sessionId","125535","162081"
"sessionId","125545","162082"
"sessionId","125555","162083"
"sessionId","125580","162084"
"sessionId","136765","162085"
"sessionId","138381","162086"
"sessionId","138411","162087"
"sessionId","147843","162088"
"sessionId","148129","162089"
"sessionId","148130","162090"
"sessionId","148131","162091"
"sessionId","148133","162092"
"sessionId","148135","162093"
"sessionId","148136","162094"
"sessionId","166671","162095"
"sessionId","168613","162096"
"sessionId","182193","162097"
"sessionId","186160","162098"
"sessionId","206847","162099"
"sessionId","207141","162100"
"sessionId","212969","162101"
"sessionId","214322","162102"
"sessionId","214334","162103"
"sessionId","214717","162104"
"sessionId","217625","162105"
"sessionId","219054","162106"
"sessionId","220747","162107"
"sessionId","221867","162108"
"sessionId","221868","162109"
"sessionId","222152","162110"
"sessionId","222156","162111"
"sessionId","223822","162112"
"ipc","1","918089"
"ipc","2","691795"
"ipc","3","710124"
"ipc","4","600085"
"ipc","5","699288"
"ipc","6","600001"
"ipc","7","600086"
"ipc","8","719487"
"ipc","9","918211"
"ipc","10","686298"
"ipc","11","600087"
"ipc","12","918171"
"ipc","13","600088"
"ipc","14","719539"
"ipc","15","917689"
"ipc","16","697779"
"ipc","17","719475"
"ipc","18","686259"
"ipc","19","719450"
"ipc","20","917989"
"ipc","21","600089"
"ipc","22","600090"
"ipc","23","600091"
"ipc","24","600092"
"ipc","25","699285"
