"31-Oct-2016, 7:15:55 PM","127.0.0.1","","","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477937083.1; __utmb=96992031; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none)"
"31-Oct-2016, 7:16:19 PM","127.0.0.1","","","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477937083.1; __utmb=96992031; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none)"
"31-Oct-2016, 7:53:43 PM","127.0.0.1","","","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477937083.1; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none)"
"31-Oct-2016, 8:08:26 PM","127.0.0.1","","","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
"31-Oct-2016, 8:08:29 PM","127.0.0.1","","http://127.0.0.1/analytics/","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
"31-Oct-2016, 8:08:31 PM","127.0.0.1","","http://127.0.0.1/analytics/","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
"31-Oct-2016, 8:09:13 PM","127.0.0.1","","http://127.0.0.1/analytics/","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
"31-Oct-2016, 8:09:15 PM","127.0.0.1","","http://127.0.0.1/analytics/","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
"31-Oct-2016, 8:09:43 PM","127.0.0.1","","http://127.0.0.1/analytics/","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
"31-Oct-2016, 8:09:46 PM","127.0.0.1","","http://127.0.0.1/analytics/","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
"31-Oct-2016, 8:09:49 PM","127.0.0.1","","http://127.0.0.1/analytics/","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
"31-Oct-2016, 8:11:55 PM","127.0.0.1","","http://127.0.0.1/analytics/","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","PHPSESSID=is9npd4ebsstjkeikh8r87t3h1; __utma=96992031.369318316.1477937083.1477937083.1477940024.2; __utmc=96992031; __utmz=96992031.1477937083.1.1.utmccn=(direct)|utmcsr=(direct)|utmcmd=(none); __utmb=96992031"
